tractid,period,pop19,nhwht19,nhblk19,hisp19,ntv19,asian19,haw19,india19,china19,filip19,japan19,korea19,viet19,agewht19,a15wht19,a65wht19,ageblk19,a15blk19,a65blk19,agehsp19,a15hsp19,a65hsp19,agentv19,a15ntv19,a65ntv19,ageasn19,a15asn19,a65asn19,mex19,cuban19,pr19,ruanc19,itanc19,geanc19,iranc19,scanc19,fb19,n10imm19,nat19,ag5up19,olang19,lep19,rufb19,itfb19,gefb19,irfb19,scfb19,ag25up19,hs19,col19,clf19,unemp19,dflabf19,flabf19,empclf19,prof19,manuf19,semp19,ag18cv19,vet19,hinc19,hh19,hincw19,hhw19,hincb19,hhb19,hinch19,hhh19,hinca19,hha19,incpc19,dpov19,npov19,n65pov19,dfmpov19,nfmpov19,dwpov19,nwpov19,dbpov19,nbpov19,dhpov19,nhpov19,dnapov19,nnapov19,dapov19,napov19,hu19,vac19,ohu19,own19,rent19,dmulti19,multi19,mhmval19,mrent19,h30old19,h10yrs19,a18und19,a60up19,a75up19,ag15up19,19-Mar,wds19,family19,fhh19,pnhwht19,pnhblk19,phisp19,pntv19,pasian19,phaw19,pindia19,pchina19,pfilip19,pjapan19,pkorea19,pviet19,p15wht19,p65wht19,p15blk19,p65blk19,p15hsp19,p65hsp19,p15ntv19,p65ntv19,p15asn19,p65asn19,pmex19,pcuban19,ppr19,pruanc19,pitanc19,pgeanc19,piranc19,pscanc19,pfb19,p10imm19,pnat19,polang19,plep19,prufb19,pitfb19,pgefb19,pirfb19,pscfb19,phs19,pcol19,punemp19,pflabf19,pprof19,pmanuf19,psemp19,pvet19,ppov19,p65pov19,pfmpov19,pwpov19,pbpov19,phpov19,pnapov19,papov19,pvac19,pown19,pmulti19,p30old19,p10yrs19,p18und19,p60up19,p75up19,pmar19,pwds19,pfhh19
21033920100,2019,2330,2275,31,0,0,0,0,0,0,0,0,0,0,2275,383,435,31,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,35,16,145,0,31,0,31,NA,NA,15,0,0,0,0,0,1640,1011,159,1027,37,933,464,990,202,266,53,1868,149,51053,862,51458,844,43438,18,NA,0,NA,0,26161,2330,413,48,528,33,2275,399,31,7,0,0,0,0,0,0,1090,228,862,751,111,1090,11,88800,382,761,279,462,658,146,1942,1011,399,528,14,97.63948498,1.330472103,0,0,0,0,0,0,0,0,0,0,16.83516484,19.12087912,0,51.61290323,NA,NA,NA,NA,NA,NA,0,0,0,0,1.502145923,0.686695279,6.223175966,0,1.330472103,0,1.330472103,NA,NA,0,0,0,0,0,61.64634146,9.695121951,3.602726388,49.73204716,20.4040404,26.86868687,5.353535354,7.976445396,17.72532189,2.060085837,6.25,17.53846154,22.58064516,NA,NA,NA,20.91743119,87.12296984,1.009174312,69.81651376,32.36658933,19.82832618,28.24034335,6.266094421,52.05973223,20.54582904,2.651515152
21033920200,2019,4644,3927,468,245,0,0,0,0,0,0,0,0,0,3927,478,906,468,142,76,245,41,0,0,0,0,0,0,0,70,0,0,0,0,95,132,13,175,0,72,NA,NA,0,0,0,0,0,0,3428,2046,493,2203,85,1995,1240,2118,484,361,27,3836,274,44814,1994,46799,1721,43016,201,NA,72,NA,0,30200,4563,660,65,1358,67,3846,340,468,248,245,72,0,0,0,0,2477,483,1994,1447,547,2477,228,87100,433,1744,1047,808,1228,464,3979,2070,1010,1358,162,84.56072351,10.07751938,5.275624462,0,0,0,0,0,0,0,0,0,12.17214158,23.0710466,30.34188034,16.23931624,16.73469388,0,NA,NA,NA,NA,1.507321275,0,0,0,0,2.045650301,2.842377261,0.279931094,3.768303187,0,1.550387597,NA,NA,0,0,0,0,0,59.68494749,14.38156359,3.858374943,62.15538847,22.85174693,17.04438149,1.274787535,7.142857143,14.46416831,1.424501425,4.933726068,8.840353614,52.99145299,29.3877551,NA,NA,19.49939443,72.56770311,9.204683084,70.40775131,52.50752257,17.39879414,26.44272179,9.991386736,52.02312139,25.38326213,11.92930781
21033920300,2019,5728,5342,297,73,0,0,0,25,49,24,0,0,0,5342,1167,1153,297,160,0,73,0,67,0,0,0,0,0,0,30,18,25,0,18,109,157,0,34,0,34,NA,NA,0,0,0,0,0,0,3889,2137,717,2267,137,2314,998,2130,736,505,200,4163,255,39464,2307,45613,2136,10899,137,NA,18,NA,0,28735,5694,1039,55,1663,188,5314,758,297,265,67,0,0,0,0,0,2724,417,2307,1745,562,2724,175,88300,280,1832,1069,1565,1570,538,4401,2672,912,1663,209,93.26117318,5.185055866,1.274441341,0,0,0,0.436452514,0.855446927,0.418994413,0,0,0,21.84575066,21.58367653,53.87205387,0,0,91.78082192,NA,NA,NA,NA,0.523743017,0.31424581,0.436452514,0,0.31424581,1.902932961,2.740921788,0,0.593575419,0,0.593575419,NA,NA,0,0,0,0,0,54.94985858,18.4366161,6.043228937,43.12878133,34.55399061,23.70892019,9.389671362,6.125390344,18.24727784,0.965929048,11.30487072,14.26420775,89.22558923,0,NA,NA,15.30837004,75.63935847,6.424375918,67.25403818,46.3372345,27.32192737,27.40921788,9.392458101,60.71347421,20.72256305,12.56764883
29025950100,2019,2494,2338,6,23,23,3,0,0,0,10,3,0,0,2338,390,574,6,0,0,23,0,0,23,2,3,3,0,0,23,0,0,0,7,100,117,28,3,3,0,NA,NA,2,0,0,0,0,0,1803,988,290,1183,33,1068,556,1150,329,200,62,2012,191,47703,1109,45815,1043,NA,0,NA,0,NA,0,23913,2460,418,63,720,67,2304,404,6,6,23,4,23,4,3,0,1531,422,1109,874,235,1531,119,86200,427,1187,421,479,739,304,2069,1053,546,720,55,93.74498797,0.240577386,0.922213312,0.922213312,0.120288693,0,0,0,0.40096231,0.120288693,0,0,16.68092387,24.5508982,0,0,0,0,8.695652174,13.04347826,0,0,0.922213312,0,0,0,0.280673617,4.009623095,4.691259022,1.122694467,0.120288693,0.120288693,0,NA,NA,0,0,0,0,0,54.79755962,16.08430394,2.789518174,52.05992509,28.60869565,17.39130435,5.391304348,9.49304175,16.99186992,2.56097561,9.305555556,17.53472222,100,17.39130435,17.39130435,0,27.56368387,78.8097385,7.772697583,77.53102547,37.96212804,19.20609463,29.63111468,12.18925421,50.89415176,26.38956017,7.638888889
29025950200,2019,6545,6202,46,124,40,34,0,0,0,19,24,3,2,6202,1238,1159,46,5,3,124,25,10,40,18,0,34,4,0,34,7,6,0,15,441,185,23,101,33,46,NA,NA,32,0,0,8,0,0,4376,2345,831,2799,95,2492,1268,2704,765,368,250,4865,560,51146,2530,50625,2439,NA,10,85446,37,NA,10,24835,6248,963,90,1628,98,5976,901,17,0,84,22,40,40,33,0,3153,623,2530,1896,634,3153,208,119800,448,2197,1048,1676,1628,464,5218,2804,1154,1628,125,94.75935829,0.702826585,1.894576012,0.611153552,0.519480519,0,0,0,0.290297937,0.366692131,0.045836516,0.030557678,19.96130281,18.68752015,10.86956522,6.52173913,20.16129032,8.064516129,45,0,11.76470588,0,0.519480519,0.106951872,0.091673033,0,0.229182582,6.737967914,2.82658518,0.351413293,1.54316272,0.504201681,0.702826585,NA,NA,0,0,0.12223071,0,0,53.58775137,18.98994516,3.39406931,50.88282504,28.29142012,13.60946746,9.24556213,11.51079137,15.41293214,1.440460948,6.01965602,15.07697456,0,26.19047619,100,0,19.75895972,74.94071146,6.596891849,69.67967016,41.4229249,25.60733384,24.87394958,7.089381207,53.73706401,22.11575316,7.678132678
37027030600,2019,4711,4261,20,289,1,24,0,0,22,0,39,8,16,4261,689,809,20,0,18,289,59,0,1,0,0,24,6,8,53,0,0,0,95,330,98,0,221,45,57,NA,NA,118,0,0,19,0,0,3420,1846,530,2347,80,1944,1063,2267,697,478,167,3724,318,46506,1907,46635,1777,NA,9,NA,77,NA,5,24466,4707,721,92,1460,137,4257,598,20,0,289,77,1,1,24,0,2011,104,1907,1522,385,2011,239,150300,460,1235,702,987,1184,443,3880,2391,812,1460,189,90.44788792,0.424538315,6.134578646,0.021226916,0.509445977,0,0,0.466992146,0,0.827849713,0.169815326,0.339630652,16.16991317,18.98615349,0,90,20.41522491,0,0,0,25,33.33333333,1.125026534,0,0,0,2.016556994,7.004882191,2.080237741,0,4.691148376,0.955211208,1.209934197,NA,NA,0,0,0.403311399,0,0,53.97660819,15.49707602,3.408606732,54.68106996,30.74547861,21.08513454,7.366563741,8.539205156,15.31761207,1.954535798,9.383561644,14.04745126,0,26.64359862,100,0,5.17155644,79.81122181,11.88463451,61.41223272,36.8117462,20.95096582,25.13266822,9.403523668,61.62371134,20.92783505,12.94520548
37027030900,2019,4695,4517,58,74,0,8,0,0,0,8,0,0,0,4517,671,913,58,0,21,74,47,0,0,0,0,8,0,0,0,15,0,0,33,223,204,17,64,0,20,NA,NA,0,0,0,20,0,0,3466,2158,415,2408,97,1988,1226,2311,545,646,257,3888,353,43695,1918,43199,1856,NA,20,NA,4,NA,0,24779,4663,568,147,1366,20,4485,560,58,0,74,0,0,0,8,8,2401,483,1918,1505,413,2401,84,75300,519,1775,525,807,1257,466,3977,2438,960,1366,36,96.20873269,1.235356763,1.576144835,0,0.170394036,0,0,0,0.170394036,0,0,0,14.85499225,20.21253044,0,36.20689655,63.51351351,0,NA,NA,0,0,0,0.319488818,0,0,0.702875399,4.749733759,4.345047923,0.362087327,1.36315229,0,0.425985091,NA,NA,0,0,0.425985091,0,0,62.26197346,11.97345643,4.028239203,61.67002012,23.58286456,27.95326698,11.12072696,9.079218107,12.18099936,3.152476946,1.464128843,12.48606466,0,0,NA,100,20.11661808,78.46715328,3.498542274,73.9275302,27.37226277,17.1884984,26.77316294,9.925452609,61.30248931,24.13879809,2.635431918
37027031100,2019,4252,3877,224,50,0,0,0,0,0,0,0,0,0,3877,501,842,224,91,41,50,0,0,0,0,0,0,0,0,42,0,0,0,0,97,102,32,121,56,91,NA,NA,5,0,0,0,0,0,3180,1625,491,2156,98,1728,978,2058,514,531,118,3440,240,48598,1729,49318,1624,50898,63,NA,42,NA,0,26921,4228,467,84,1228,72,3853,446,224,0,50,21,0,0,0,0,2160,431,1729,1405,324,2160,38,106600,511,1357,590,812,1201,339,3626,1839,895,1228,144,91.18062088,5.268109125,1.175917215,0,0,0,0,0,0,0,0,0,12.92236265,21.71782306,40.625,18.30357143,0,0,NA,NA,NA,NA,0.987770461,0,0,0,0,2.281279398,2.398871119,0.752587018,2.845719661,1.317027281,2.140169332,NA,NA,0,0,0,0,0,51.10062893,15.44025157,4.545454545,56.59722222,24.97570457,25.80174927,5.73372206,6.976744186,11.04541154,1.986754967,5.863192182,11.5753958,0,42,NA,NA,19.9537037,81.26084442,1.759259259,62.82407407,34.12377097,19.09689558,28.24553151,7.972718721,50.71704357,24.68284611,11.72638436
37027031000,2019,3226,3083,20,68,0,26,26,0,0,0,0,0,0,3083,462,771,20,15,0,68,0,40,0,0,0,26,0,0,68,0,0,0,9,39,122,11,61,15,31,NA,NA,17,0,0,0,0,0,2415,1189,452,1600,147,1310,693,1453,478,331,223,2644,232,47150,1291,48044,1251,NA,3,22434,37,NA,0,27973,3184,261,71,990,45,3041,261,20,0,68,0,0,0,26,0,1985,694,1291,1017,274,1985,38,138500,581,1512,456,582,1021,264,2749,1633,528,990,47,95.56726596,0.619962802,2.107873528,0,0.805951643,0.805951643,0,0,0,0,0,0,14.98540383,25.00810898,75,0,0,58.82352941,NA,NA,0,0,2.107873528,0,0,0,0.278983261,1.208927464,3.781773094,0.340979541,1.890886547,0.464972102,0.960942343,NA,NA,0,0,0,0,0,49.23395445,18.71635611,9.1875,52.90076336,32.89745354,22.78045423,15.34755678,8.774583964,8.197236181,2.229899497,4.545454545,8.582703058,0,0,NA,0,34.96221662,78.77614253,1.914357683,76.17128463,35.32145624,18.04091754,31.64910105,8.183508989,59.40341943,19.20698436,4.747474747
37027030200,2019,4712,4041,372,235,0,0,0,0,0,0,0,0,0,4041,666,933,410,0,118,235,107,0,0,0,0,0,0,0,129,0,62,0,0,252,26,0,50,44,0,NA,NA,6,0,0,0,0,0,3277,2202,249,2099,136,1974,959,1963,255,764,151,3793,260,34180,1871,34427,1692,31010,167,NA,12,NA,0,18658,4617,1228,187,1153,281,3985,1030,371,50,235,107,0,0,0,0,2180,309,1871,1276,595,2180,91,87000,481,1681,600,904,1175,466,3891,1143,1296,1153,283,85.75976231,7.894736842,4.987266553,0,0,0,0,0,0,0,0,0,16.48106904,23.08834447,0,28.7804878,45.53191489,0,NA,NA,NA,NA,2.737691002,0,1.315789474,0,0,5.348047538,0.551782683,0,1.061120543,0.933786078,0,NA,NA,0,0,0,0,0,67.19560574,7.598413183,6.479275846,48.58156028,12.99032094,38.92002038,7.692307692,6.854732402,26.59735759,4.050249079,24.37120555,25.84692597,13.47708895,45.53191489,NA,NA,14.17431193,68.19882416,4.174311927,77.11009174,32.06841261,19.18505942,24.93633277,9.889643463,29.37548188,33.307633,24.54466609
