tractid,period,pop19,nhwht19,nhblk19,hisp19,asian19,fb19,n10imm19,col19,unemp19,prof19,manuf19,npov19,vac19,own19,dmulti19,multi19,h30old19,h10yrs19,a18und19,a60up19
48061013305,2019,4708,43,0,4665,0,1565,150,211,84,416,141,1194,136,900,1472,201,932,423,1325,793
48061013309,2019,2849,8,0,2841,0,1099,87,165,20,117,84,1052,16,433,719,53,389,284,1022,431
48061013402,2019,1999,75,0,1921,3,640,36,114,24,106,30,774,60,334,623,103,492,172,628,407
48061013500,2019,1773,270,8,1479,16,536,118,459,26,388,35,359,185,459,801,132,678,275,368,531
48061012613,2019,5286,217,225,4673,136,1432,123,1486,128,1132,288,501,157,1318,1885,300,887,692,1221,1188
48061013306,2019,2593,11,0,2582,0,859,97,61,151,115,75,838,70,504,732,69,480,179,735,400
48061010201,2019,2280,136,0,2144,0,265,11,169,76,238,81,449,45,533,729,0,395,223,638,398
48061010800,2019,7409,1080,0,6283,0,1036,653,566,326,760,102,3200,598,738,2956,1758,1844,1616,2977,721
48061010500,2019,2667,64,0,2600,3,684,105,123,92,104,38,766,76,466,765,85,608,350,1083,500
48061010601,2019,8442,814,20,7295,155,875,282,839,163,791,131,3089,139,1571,3048,889,2123,1512,2678,1619
48061010900,2019,1448,29,13,1389,7,583,64,45,110,112,49,533,186,196,678,301,571,274,413,267
48061012504,2019,18134,1175,0,16631,159,4342,807,2350,269,2762,293,4514,242,3751,5060,351,1079,2434,5729,2245
48061013206,2019,3258,42,0,3216,0,1298,197,120,147,115,55,1447,58,589,943,207,373,307,1180,388
48061013308,2019,3549,46,0,3503,0,1334,130,141,113,137,173,1692,24,575,882,62,443,294,1111,478
48061013801,2019,2431,81,78,2263,0,861,268,37,34,62,84,1617,129,195,799,317,507,412,756,377
48061013903,2019,3978,0,0,3978,0,1117,292,192,81,287,10,1733,109,713,1199,49,828,362,1360,780
48061010602,2019,1532,379,16,1098,13,73,11,266,51,265,51,235,49,420,614,90,479,226,388,394
48061011200,2019,1666,227,0,1439,0,275,0,84,53,60,29,634,60,268,567,25,548,247,562,314
48061011400,2019,6387,862,38,5487,0,964,104,777,66,1039,61,1205,335,1607,2423,95,1278,728,1500,1847
48061011902,2019,5257,692,0,4551,0,1198,80,548,147,602,169,1203,365,1252,2012,14,1316,703,1374,1050
48029110900,2019,1669,867,46,688,37,289,59,927,19,804,57,230,154,78,1170,1036,162,947,78,198
48029111000,2019,2948,600,167,1983,62,599,111,375,73,459,97,727,260,301,1448,927,906,933,562,574
48135001100,2019,8130,870,303,6821,0,1106,88,434,249,434,100,1575,158,1237,2686,466,2472,1395,2691,1140
48135002801,2019,5203,809,0,4337,43,1272,343,220,148,261,112,589,103,1267,1475,0,653,618,1865,644
48135003000,2019,13015,6091,472,5948,405,1578,738,1983,43,1878,406,1206,517,2848,4758,1368,1525,2927,4061,1478
48135000400,2019,5826,2298,394,3114,20,515,211,625,193,657,214,498,51,1191,1669,26,1616,625,2038,943
48135000500,2019,5071,1610,538,2825,12,761,245,540,309,462,37,317,112,1075,1787,379,1711,879,1331,685
48135001800,2019,3579,545,1327,1671,0,291,36,389,171,378,105,960,245,661,1450,355,865,736,1331,450
48135001900,2019,5882,368,304,5191,19,1248,378,72,233,367,104,964,302,1239,2029,110,1517,782,1556,1141
48135002000,2019,4104,216,397,3361,113,797,30,140,34,307,149,827,30,790,1319,213,935,538,1314,699
48135002900,2019,3448,2297,75,846,190,384,143,1004,0,907,161,183,166,986,1558,483,1047,735,700,541
48135002802,2019,8977,2677,118,5958,0,1393,221,445,155,596,177,1618,646,1759,3130,8,1970,1366,3199,928
48169950100,2019,6070,2407,342,3170,119,2111,684,626,51,639,126,829,501,1088,2044,127,1394,596,962,1142
48173950100,2019,1510,849,0,661,0,352,130,241,0,244,27,177,119,265,522,7,373,137,343,286
