geoid,period,n_asian_under_15,n_black_under_15,n_hispanic_under_15,n_native_under_15,n_white_under_15,n_persons_under_18,n_asian_over_60,n_black_over_60,n_hispanic_over_60,n_native_over_60,n_persons_over_60,n_white_over_60,n_asian_over_65,n_black_over_65,n_hispanic_over_65,n_native_over_65,n_white_over_65,n_persons_over_75,n_persons_over_15,n_civilians_over_16,n_civilians_over_18,n_persons_over_25,n_age_5_older,n_asian_age_distribution,n_black_age_distribution,n_hispanic_age_distribution,n_native_age_distribution,n_white_age_distribution,n_asian_persons,n_black_persons,n_chinese_persons,n_labor_force,n_civilians_16_64,n_edu_college_greater,n_cuban_pop,n_poverty_determined_asian,n_poverty_determined_black,n_total_pop_sample,n_female_over_16,n_poverty_determined_families,n_poverty_determined_hispanic,n_disabled,n_housing_units_multiunit_structures_denom,n_poverty_determined_native,n_poverty_determined_persons,n_poverty_determined_white,n_employed_over_16,n_total_families,n_foreign_born_pop,n_female_headed_families,n_filipino_persons,n_female_labor_force,n_german_pop,n_german_born_pop,n_household_recent_move,n_structures_30_old,n_hawaiian_persons,n_total_households,n_asian_households,n_black_households,n_hispanic_households,n_white_households,median_household_income,median_income_asianhh,median_income_blackhh,median_income_hispanichh,median_income_whitehh,n_hispanic_persons,n_edu_hs_less,n_total_housing_units,per_capita_income,n_asian_indian_persons,n_irish_pop,n_irish_born_pop,n_italian_pop,n_italian_born_pop,n_japanese_persons,n_korean_persons,n_limited_english,n_employed_manufacturing,n_married,n_mexican_pop,median_home_value,median_contract_rent,n_housing_units_multiunit_structures,n_recent_immigrant_pop,n_poverty_over_65,n_poverty_asian,n_naturalized_pop,n_poverty_black,n_poverty_families_children,n_nonhisp_black_persons,n_poverty_hispanic,n_nonhisp_white_persons,n_poverty_native,n_poverty_persons,n_native_persons,n_poverty_white,n_occupied_housing_units,n_other_language,n_owner_occupied_housing_units,p_recent_immigrant_pop,p_household_recent_move,p_asian_under_15,p_black_under_15,p_hispanic_under_15,p_native_under_15,p_white_under_15,p_persons_under_18,p_structures_30_old,p_persons_over_60,p_asian_over_65,p_black_over_65,p_hispanic_over_65,p_native_over_65,p_poverty_rate_over_65,p_white_over_65,p_persons_over_75,p_poverty_rate_asian,p_asian_persons,p_poverty_rate_black,p_chinese_persons,p_edu_college_greater,p_cuban_pop,p_foreign_born_pop,p_female_headed_families,p_filipino_persons,p_female_labor_force,p_poverty_rate_children,p_german_pop,p_german_born_pop,p_hawaiian_persons,p_hispanic_persons,p_poverty_rate_hispanic,p_edu_hs_less,p_asian_indian_persons,p_irish_pop,p_irish_born_pop,p_italian_pop,p_italian_born_pop,p_japanese_persons,p_korean_persons,p_limited_english,p_employed_manufacturing,p_married,p_mexican_pop,p_housing_units_multiunit_structures,p_poverty_rate_native,p_naturalized_pop,p_nonhisp_black_persons,p_nonhisp_white_persons,p_native_persons,p_other_language,n_total_pop,p_owner_occupied_units,p_poverty_rate,p_puerto_rican_pop,p_employed_professional,n_puerto_rican_pop,n_employed_professional,p_russian_pop,p_russian_born_pop,p_scandanavian_pop,p_scandanavian_born_pop,p_employed_self_employed,p_unemployment_rate,p_vacant_housing_units,p_veterans,p_vietnamese_persons,p_widowed_divorced,p_poverty_rate_white,n_renter_occupied_housing_units,n_russian_pop,n_russian_born_pop,n_scandaniavian_pop,n_scandaniavian_born_pop,n_employed_self_employed,n_unemployed_persons,n_vacant_housing_units,n_veterans,n_vietnamese_persons,n_widowed_divorced,n_white_persons,n_total_housing_units_sample,p_white_over_60,p_black_over_60,p_hispanic_over_60,p_native_over_60,p_asian_over_60,p_disabled
17031010100,1980,199.260498,642.6151123,482.2104187,0,347.7095642,1646.888062,0,59.77814865,11.9556303,0,492.1734314,402.5062256,,,,,,187.3048706,4866.9375,4757.344238,,3305.731689,5712.798561,616.7112427,1931.830566,1715.632935,0,2900.236572,297.8944397,,94.64873505,3275.842529,4416.608887,765.1603394,23.9112606,616.7112427,1921.867554,6285.672502,2126.109619,1299.178467,1715.632935,214.2050323,2964,,6193.016369,2817.543483,2854.406738,1299.178467,2288.506836,254.0571442,41.84470367,1255.341187,161.401001,0,2326.366455,2202.824951,1.992604971,2586.401367,135.4971466,398.5209961,382.5801697,577.8554688,30220.61371,12444.37489,25990.67609,32989.15091,47591.37723,1691.72168,1976.664185,2964,15235.20883,37.85949707,100.6265564,0,23.9112606,2.988907514,20.92235184,20.92235184,1205.526001,581.8406372,1894.967407,1466.557251,192155.7835,584.7026107,2894.258789,1948.767699,0.400700837,403.5025024,347.7095741,817.9643555,308.8537903,1856.111572,684.4598389,2101.201904,,2199.835938,7.970419884,606.74823,2576.438232,2243.67334,165.3862152,31.00332858,89.94607274,3.17007445,10.2234902,7.671580385,0,5.531779839,26.20066606,74.31933033,7.830083913,,,,,0.006470205,,2.979870023,6.515443822,4.739261226,13.20785069,1.50578534,23.14647441,0.380408947,36.40830532,19.55521513,0.66571562,,23.77300718,2.567760267,0,0.031700744,26.91393291,11.05212385,59.79505813,0.602314184,1.600887675,0,0.380408947,0.047551117,0.33285781,0.33285781,19.17895023,20.38394282,38.93551966,23.33174773,97.64705766,,5.531779996,29.52924403,33.42843432,0.126802977,35.69504042,6285.672502,86.9243668,35.52123565,0.681566009,19.23211224,42.84100723,548.9627075,0.713266788,0.269456332,1.220478697,0.06340149,4.432809687,12.86496437,13.07563009,6.355999352,1.252179476,16.70419744,9.797297373,2411.052002,44.83361435,16.93714258,76.71529388,3.985210018,126.5304184,421.4359741,387.561676,399.5173035,78.707901,812.9828491,,2964,6.403550702,0.951022323,0.190204474,0,0,3.407829985
17031010201,1980,86.90192413,146.2495728,170.9777679,0,519.2919922,987.0080566,16.9564724,8.478236198,12.01083469,0,1155.159668,1166.463989,,,,,,455.7052002,4877.812012,4831.181641,,3924.717041,5355.419357,450.7595825,515.0528564,696.628418,0,4511.128418,398.4771118,,38.15206528,3387.05542,3887.978027,1078.149048,33.20642471,450.7595825,486.0855713,5713.624847,2688.307373,1256.89856,691.6828003,226.0863037,2804.883301,,5447.266918,4275.150729,3256.349365,1256.89856,1478.039185,125.0539856,149.0756531,1723.908081,404.8357849,55.10853692,2028.418091,1879.342407,2.11955905,2640.970703,106.6844788,110.9235916,171.6842957,982.0623779,43932.3013,61018.41436,46208.89579,40010.87244,58466.69111,660.5959473,2096.950439,2804.883301,23706.5328,105.2714386,346.9011841,12.01083497,107.3909912,9.184756153,40.2716217,61.46721268,353.2598572,699.4545288,2065.863525,453.5856628,177346.0637,686.2706761,2650.155518,956.6276793,0.293237746,60.05417633,447.9334924,69.94544983,57.93461609,503.0420227,127.1735458,4099.934082,,510.1072388,8.478236198,349.0207214,2644.503174,1384.778564,422.4987793,16.74292074,76.80577784,1.520959574,2.559663554,2.992457021,0,9.088660983,17.27463883,67.00251687,20.2176324,,,,,0.005383209,,7.975763415,1.102464359,6.97415603,1.284046677,0.667738368,27.47074596,0.581179647,25.8686775,9.949409569,2.609125679,,4.60933109,7.08544568,0.964510944,0.037096574,11.56176622,2.334630333,53.42934069,1.84246326,6.071472898,0.210213924,1.87955972,0.160751824,0.704834895,1.07580064,6.182762548,21.47971395,42.35225794,7.93866722,94.4836285,,7.839742797,8.804253625,71.75714528,0.148386295,24.23642786,5713.624847,94.28211053,9.364461967,0.630641773,28.35756122,36.03250504,923.4212646,4.463954604,1.830097688,1.830097728,0.296772598,4.664786126,3.85899048,5.717884033,8.767157432,0.037096574,21.50927015,6.407263067,2222.004395,255.0536194,104.5649162,104.5649185,16.9564729,151.9017334,130.7061462,160.3799744,500.9224854,2.11955905,1049.181763,,2804.883301,20.41548089,0.148386295,0.210213919,0,0.296772589,3.956967945
17031010202,1980,36.09807587,60.75042343,71.02223206,0,215.7080231,409.9919739,7.043527126,3.521763563,4.989164829,0,479.8403015,484.5359802,,,,,,189.2947845,2026.187988,2006.818237,,1630.283081,2224.580657,187.2404327,213.9471436,289.371582,0,1873.871704,165.5228882,,15.84793568,1406.94458,1615.022095,447.8509216,13.79357433,187.2404327,201.914444,2373.375168,1116.692505,522.1014404,287.3171997,93.91369629,1165.116821,,2262.733096,1775.849282,1352.650635,522.1014404,613.9607544,51.9460144,61.92434311,716.0919189,168.1642151,22.89146322,842.5819092,780.6575928,0.880440891,1097.029297,44.31552505,46.07640839,71.31571198,407.9376221,43932.30438,61018.4131,46208.89192,40010.8733,58466.69081,274.4040833,871.0494995,1165.116821,23706.53268,43.72856522,144.0988312,4.989165062,44.60900497,3.815243871,16.72837639,25.53278542,146.7401428,290.5455017,858.1364136,188.4143524,177346.0595,686.270647,1100.844604,397.3723231,0.12180765,24.94582558,186.0665088,29.05455017,24.06538391,208.9579773,52.82645416,1703.066162,,211.8927765,3.521763563,144.9792633,1098.496704,575.2213745,175.5012207,16.74292073,76.80578007,1.520959533,2.559663733,2.99245703,0,9.088660993,17.27463822,67.00251672,20.21763386,,,,,0.005383209,,7.975763253,1.102464344,6.974156064,1.284046723,0.667738329,27.47074584,0.581179685,25.86867692,9.949410283,2.609125769,,4.60933107,7.085445966,0.964510943,0.037096575,11.561766,2.334630375,53.42934056,1.842463249,6.071472945,0.210213924,1.879559775,0.160751824,0.704834896,1.075800647,6.182762202,21.47971503,42.35226044,7.938667049,94.48362466,,7.839742798,8.804253964,71.75714084,0.148386299,24.23642845,2373.375168,94.28210839,9.364461804,0.630641761,28.35756148,14.96749496,383.5787354,4.463954525,1.830097688,1.83009774,0.296772598,4.664786395,3.858990221,5.717883772,8.767157115,0.037096575,21.50926962,6.407263126,922.9955444,105.9463882,43.43508407,43.4350853,7.043527146,63.09826279,54.29385376,66.62002563,208.0775299,0.880440891,435.8182373,,1165.116821,20.415482,0.148386299,0.210213914,0,0.296772597,3.956968016
17031010300,1980,79,81,157,0,389,698,27,50,56,0,1754,1705,,,,,,870,5886,5853,,4883,6145.000051,468,426,615,0,5411,463,,80,3703,4130,1696,31,468,371,6470.000053,3152,1191,562,194,3359,,5560.000046,4583.000038,3523,1191,1602,123,153,1696,455,52.00000043,2583,2298,0,3100,135,71,111,954,44113.47793,51470.29898,46323.26908,37363.62548,65475.82557,618,2308,3359,24606.92074,100,503,5.000000041,139,5.000000041,53,73,296,547,1958,401,196665.9552,678.0354107,3193,840.0000069,2.33812952,49,731.000006,52,60,420,116,4854,,648,26,490,3096,1564,558,12.98299845,83.32258065,1.221020083,1.251931984,2.426584215,0,6.012364711,10.78825339,68.41321822,27.10973703,,,,,0.042052689,,13.44667686,0.881294957,7.156105042,0.935251791,1.236476033,34.73274626,0.479134463,24.76043256,10.32745592,2.364760413,,5.037783375,7.032457439,0.803709428,0,9.551777356,2.086330918,47.26602498,1.545595041,7.774343058,0.077279753,2.148377108,0.077279753,0.819165372,1.12828438,4.574961323,15.52653988,33.26537547,6.197836116,95.05805299,,11.29829985,6.491499174,75.02318331,0.401854711,24.17310645,6470.000053,92.17028878,11.65467616,0.540958265,36.84359921,35,1298,5.656877852,2.720247296,1.375579587,0.27820711,4.484814079,4.860923575,7.829711224,10.18547132,0.030911901,25.21236833,8.812949567,2538,366,176.0000015,89,18.00000015,158,180,263,659,2,1484,,3359,26.35239546,0.772797521,0.865533223,0,0.417310661,2.99845438
17031010400,1980,7,10,10,0,234,358,14,0,23,0,900,865,,,,,,312,4564,4556,,2688,4784.000013,115,236,220,0,4469,120,,24,2912,3821,1150,36,101,105,4856.000014,2360,674,186,150,2363,,3699.00001,3463.00001,2730,674,812,63,16,1394,285,12.00000003,1716,1610,1,2186,13,11,40,647,37761.35652,,,48038.94571,59447.08051,213,1021,2363,23009.28252,29,606,8.000000022,128,0,20,21,97,304,1076,86,256206.7962,686.270655,2304,281.0000008,2.29791832,17,469.0000013,30,31,235,30,4216,,540,10,489,2184,874,297,5.786655683,78.49954254,0.144151565,0.205930807,0.205930807,0,4.818780876,7.372322878,68.13372831,18.5337726,,,,,0.06212269,,6.425041168,0.45958367,2.47116968,0.811030006,0.494233936,42.7827381,0.741350904,16.7215815,9.347181009,0.329489291,,4.599406528,5.86902799,0.247116969,0.020593081,4.386326182,0.811030006,37.98363095,0.597199339,12.47940688,0.164744646,2.635914325,0,0.411861613,0.432454694,1.997528825,11.13553114,23.57581069,1.771004937,97.50317393,,9.658154859,4.839373956,86.82042809,0.205930807,17.9983525,4856.000014,92.42488362,14.59854011,0.535420097,41.72161172,26,1139,6.095551877,2.84184514,0.370675452,0,3.516483516,6.25,7.575116377,6.878088942,0.144151565,15.60035057,13.2197891,1887,296,138.0000004,18,0,96,182,179,334,7,712,,2363,17.81301478,0,0.473640855,0,0.288303129,3.0889621
17031010501,1980,30.45669937,83.10327911,55.6922493,8.701913834,269.7593384,495.1388855,31.76198578,21.3196888,11.74758339,0,1003.765747,977.2249146,,,,,,452.0644226,3833.628174,3809.697998,,2983.88623,4062.923598,277.5910645,352.8626099,258.0117493,28.71631622,3475.544434,256.2713623,,110.0792084,2544.874756,2991.718018,883.2442627,25.67064667,277.5910645,352.8626099,4240.877738,2092.375244,831.9029541,258.0117493,264.1030884,2689.326416,30.32485008,4237.396972,3473.804028,2352.127441,831.9029541,1213.481934,87.45423126,18.70911407,1198.688599,259.3170471,63.95906714,2042.774292,1837.40918,1.305287123,2498.754639,63.9590683,83.9734726,47.4254303,652.2084351,31277.47049,56045.43761,35701.49479,39304.59217,50506.11418,261.4925232,1552.856567,2689.326416,22572.8133,60.478302,281.9420166,32.63217711,97.02633667,8.701913897,49.60091019,12.61777496,274.1102905,416.8216858,1220.87854,107.0335388,185293.0704,612.1534233,2665.831299,613.049834,1.67533505,66.56964111,581.2878483,39.1586113,73.96627045,349.3818359,82.23308563,3287.583008,30.32485008,765.7684326,14.35815811,618.7060547,2489.617676,1245.243896,196.2281647,14.45572997,81.75169583,0.71816971,1.959577339,1.31322459,0.205191339,6.360931747,11.67538694,68.32228208,23.66882068,,,,,0.039536892,,10.65969006,1.571003178,6.042884943,0.92411949,2.595670406,29.60046713,0.605314472,28.61393346,10.51255207,0.441161364,,8.891213823,6.114702265,1.508156356,0.030778702,6.166000044,1.940650974,52.04141336,1.426079829,6.648199595,0.769467528,2.287883374,0.205191341,1.169590666,0.29752744,6.463527303,17.72105025,31.84655591,2.523853443,99.12635681,0.71564808,13.70678157,8.238432171,77.52128713,0.338565717,29.36288129,4240.877738,92.57402378,18.07167083,0.779727081,29.54124965,33.06727219,694.8478394,9.30542755,8.084538831,1.005437559,0.153893506,3.903070448,7.573944071,7.425983031,10.49553731,0.082076537,25.80864778,14.60108786,2293.389404,394.6318054,342.8554075,42.63937759,6.526435423,91.80519104,192.7473907,199.7089233,445.1029053,3.480765581,989.4075928,,2689.326416,23.04298721,0.502718779,0.277008301,0,0.748948396,6.227557235
17031010502,1980,23.6487484,64.52729797,43.24342346,6.756784916,209.4603424,384.4610596,24.66226578,16.55412292,9.121660233,0,779.3951416,758.7869873,,,,,,351.0149841,2976.70166,2958.120605,,2316.901611,3154.742956,215.5414429,273.9876404,200.3386841,22.29738998,2698.659912,198.9873199,,85.47332764,1976.021851,2322.982666,685.8136597,19.9325161,215.5414429,273.9876404,3292.91921,1624.668945,645.9486694,200.3386841,205.0684204,2088.184326,23.54637146,3290.216496,2697.308605,1826.359009,645.9486694,942.2337036,67.90569305,14.52708817,930.7471313,201.3521881,49.66237036,1586.155273,1426.69519,1.013517737,1940.210815,49.66236877,65.20297241,36.82447815,506.421051,31277.47164,56045.43851,35701.49786,39304.59113,50506.11413,203.0413971,1205.748291,2088.184326,22572.81446,46.95965576,218.9198303,25.33794406,75.33815002,6.756785084,38.51367569,9.797338486,212.8387299,323.6499939,947.9769287,83.10845947,185293.0698,612.1534143,2069.941162,476.0155091,1.300849319,51.68940735,451.3532436,30.40553284,57.43267441,271.2849121,63.85161972,2552.713379,23.54637146,594.5971069,11.14869499,480.4074097,1933.116211,966.8959351,152.365509,14.45572997,81.75169733,0.718169712,1.959577319,1.313224549,0.205191336,6.360931716,11.67538695,68.32228229,23.66882064,,,,,0.039536891,,10.65969013,1.571003228,6.042884966,0.924119518,2.595670352,29.6004654,0.605314459,28.61393322,10.51255251,0.44116139,,8.891213363,6.114701736,1.508156356,0.0307787,6.165999958,1.940651012,52.04141105,1.426079802,6.648199252,0.769467528,2.28788334,0.205191341,1.169590665,0.297527448,6.463527233,17.72105004,31.84655491,2.523853583,99.12636237,0.715648088,13.70678158,8.238432066,77.52128784,0.3385657,29.36288058,3292.91921,92.5740217,18.0716712,0.779727091,29.54125088,25.67578316,539.5292969,9.305427099,8.084538834,1.005437539,0.153893506,3.903070544,7.573944383,7.425983428,10.49553712,0.082076534,25.80864822,14.60108811,1780.750732,306.4201965,266.2173323,33.10824585,5.067588813,71.28408051,149.662796,155.068222,345.6095581,2.702713966,768.24646,,2088.184326,23.04298827,0.502718769,0.277008322,0,0.748948401,6.227556989
17031010503,1980,15.89455414,43.36942673,29.06432724,4.54130125,140.7803345,258.4000549,16.57575035,11.12618828,6.130756855,0,523.8391113,509.9881287,,,,,,235.9205933,2000.670288,1988.181641,,1557.212158,2120.333544,144.8675079,184.149765,134.6495819,14.98629379,1813.795654,133.7413177,,57.44746017,1328.103516,1561.299316,460.9420776,13.39683819,144.8675079,184.149765,2213.203155,1091.955933,434.148407,134.6495819,137.8284912,1403.489136,15.82574654,2211.386634,1812.887451,1227.513672,434.148407,633.2844849,45.64007568,9.76379776,625.56427,135.33078,33.37856404,1066.070435,958.895752,0.681195199,1304.034668,33.37856293,43.82355499,24.75009155,340.3705139,31277.47082,56045.43722,35701.4972,39304.59212,50506.11698,136.466095,810.3952026,1403.489136,22572.81462,31.56204414,147.1381531,17.02987961,50.63550949,4.54130123,25.88541794,6.584886551,143.0509949,217.5283356,637.1445923,55.85800552,185293.0785,612.1533989,1391.227661,319.9346717,0.874313533,34.74095535,303.3589222,20.43585587,38.60105896,182.333252,42.91529846,1715.703613,15.82574654,399.6345215,7.493146896,322.8865051,1299.266235,649.8602295,102.4063416,14.45572997,81.75169427,0.718169686,1.959577305,1.313224553,0.205191342,6.360931403,11.67538797,68.3222782,23.66882182,,,,,0.039536891,,10.65968991,1.571003226,6.04288483,0.924119535,2.595670444,29.60046743,0.605314436,28.61393377,10.51255169,0.441161388,,8.891212852,6.114702109,1.508156355,0.030778702,6.165999479,1.940651074,52.0414125,1.426079846,6.648199139,0.769467528,2.287883486,0.205191341,1.169590685,0.297527434,6.463527516,17.72105196,31.84655643,2.52385351,99.12635768,0.715648105,13.70678157,8.23843268,77.52128896,0.338565706,29.36288194,2213.203155,92.57401441,18.0716712,0.779727095,29.54125095,17.25694466,362.6228943,9.305427422,8.084538832,1.005437594,0.153893506,3.903070861,7.573944326,7.425982826,10.49553681,0.082076535,25.80864775,14.60108785,1196.859985,205.9480133,178.9272685,22.25237656,3.405975923,47.91072845,100.5898209,104.2228622,232.2875519,1.816520452,516.3459473,,1403.489136,23.04298761,0.502718797,0.277008319,0,0.748948433,6.227557144
17031010600,1980,118,113,188,0,737,1183,46,15,25,0,1187,1104,,,,,,465,5632,5535,,4471,6303.999951,503,386,690,0,5520,503,,140,3710,4550,1460,114,503,371,6619.999948,2859,1483,681,248,3269,,6458.99995,5388.999958,3562,1483,2123,135,86,1689,319,52.99999959,2511,2466,0,3051,101,77,123,1272,41025.25931,61935.92644,48038.94571,59112.86003,54020.8778,699,2268,3269,21425.36962,150,459,42.99999966,114,10.99999991,56,49,680,606,2371,315,190514.222,656.0747391,3071,1377.999989,1.377922297,96,729.9999943,89,103,380,9,4851,,812,24,610,3045,2205,491,20.81570997,82.30088496,1.782477355,1.706948654,2.839879176,0,11.1329306,17.87009077,75.43591312,17.93051374,,,,,0.021333369,,7.024169239,1.4862982,7.598187371,1.37792229,2.114803642,32.65488705,1.722054394,32.06948666,9.103169252,1.299093666,,6.945380984,4.818731156,0.80060423,0,10.55891247,0.139340456,50.72690673,2.265861045,6.933534798,0.649546828,1.722054394,0.166163142,0.845921457,0.740181275,10.2719034,17.01291409,42.09872159,4.758308194,93.94310187,,11.02719033,5.740181314,73.27794619,0.362537767,33.30815736,6619.999948,93.14775161,12.57160561,1.087613302,30.96574958,72,1103,9.879154156,8.232628399,1.163142003,0.105740181,4.604154969,3.989218329,6.852248394,9.879154156,0.271903325,19.42471591,9.44418648,2554,654,544.9999957,77,6.999999945,164,148,224,654,18,1094,,3269,16.67673729,0.226586104,0.377643507,0,0.694864054,3.746223594
17031010701,1980,76.95212555,76.17482758,116.9827728,3.109176874,409.2453918,697.2329102,20.20964813,8.550235748,27.98259163,2.331882477,473.7608032,469.0970459,,,,,,155.4588318,2712.756836,2670.394287,,2127.06543,3079.250932,306.6425476,219.5856018,440.7257996,22.54153061,2669.616943,291.0966797,,32.64635468,1957.226807,2286.410889,686.7394409,36.1441803,306.6425476,217.2537231,3292.22954,1406.513794,751.2548218,436.0620422,156.2361298,1555.754272,0,3280.18148,2659.900717,1842.575928,751.2548218,1041.962891,87.0569458,64.90406799,893.4996948,222.3061371,18.26641346,1176.434814,1151.172729,0.388647109,1427.112183,75.39753723,47.02629852,89.00018311,605.9008179,40624.47615,54373.74834,29539.4729,54012.04182,52121.50502,443.0576782,1103.75769,1555.754272,20972.43146,108.0438919,180.3322449,16.32317798,42.36253357,6.995647707,29.92582703,52.07871246,291.8739624,362.9963989,1178.378052,244.4590302,176791.5625,661.56494,1397.574951,694.1237114,0.33154729,25.65070915,290.7080269,71.51106262,55.1878891,214.9218445,34.97823715,2289.908691,0,393.3108521,10.10482407,276.7167358,1459.758545,1054.010864,273.6075439,21.08369732,82.43464165,2.337386401,2.313776323,3.553299409,0.094439857,12.43064576,21.17813785,73.99450863,14.39027253,,,,,0.01010759,,4.721992495,0.781990549,8.841931468,2.180094701,0.991618424,32.28576946,1.097863313,31.64915685,11.5882046,1.97143204,,7.346094494,6.7524495,0.55483414,0.011804982,13.45767884,1.066350669,51.89110191,3.281784899,5.477511295,0.495809231,1.286743013,0.212489671,0.908983613,1.581867601,8.865541083,19.70048525,43.43839582,7.425333721,89.83262821,0,8.830126313,6.528154914,69.55495245,0.306929512,32.01510864,3292.22954,93.82963436,11.99052109,0.731908837,25.58531876,24.09611893,471.4289246,6.138590707,6.410105065,1.215913125,0,4.387259776,5.85782362,6.170372537,8.912761238,0.070829887,19.34097362,8.436019089,1186.150879,202.0964966,211.0353725,40.03065109,0,80.83859253,114.6508942,95.99583435,293.4285583,2.331882477,524.673584,,1555.754272,14.24861299,0.259709587,0.849958707,0.070829887,0.613859024,4.745602574
