geoid,period,confirmed_cases_total,death_total,cases,death,pop,confirmed_rate_total,death_rate_tatal,confirmed_rate,death_rate
25021,2020-03-02,1,0,1,0,131,76.34,0.00,76.34,0.00
17031,2020-03-02,7,0,1,0,37172,1.88,0.00,0.27,0.00
6095,2020-03-02,24,0,1,0,80680,2.97,0.00,0.12,0.00
6075,2020-03-02,6,0,0,0,17376,3.45,0.00,0.00,0.00
12057,2020-03-02,2,0,1,0,1396,14.33,0.00,7.16,0.00
6073,2020-03-02,2,0,0,0,39508,0.51,0.00,0.00,0.00
6055,2020-03-02,2,0,0,0,22346,0.90,0.00,0.00,0.00
6097,2020-03-02,3,0,1,0,27874,1.08,0.00,0.36,0.00
48029,2020-03-02,22,0,0,0,1768,124.43,0.00,0.00,0.00
53061,2020-03-02,5,0,1,0,9422,5.31,0.00,1.06,0.00
6067,2020-03-02,6,0,0,0,2428,24.71,0.00,0.00,0.00
33009,2020-03-02,1,0,1,0,6253,1.60,0.00,1.60,0.00
6001,2020-03-02,2,0,1,0,18724,1.07,0.00,0.53,0.00
6059,2020-03-02,2,0,0,0,94454,0.21,0.00,0.00,0.00
6061,2020-03-02,1,0,1,0,15033,0.67,0.00,0.67,0.00
53071,2020-03-02,1,0,1,0,13167,0.76,0.00,0.76,0.00
53033,2020-03-02,26,9,11,5,11340,22.93,7.936507936507937,9.70,4.409171075837742
53063,2020-03-02,8,0,0,0,5328,15.02,0.00,0.00,0.00
49035,2020-03-02,2,0,0,0,52536,0.38,0.00,0.00,0.00
41067,2020-03-02,4,0,1,0,1570,25.48,0.00,6.37,0.00
6037,2020-03-02,2,0,0,0,57556,0.35,0.00,0.00,0.00
55025,2020-03-02,2,0,0,0,18630,1.07,0.00,0.00,0.00
6085,2020-03-02,16,0,5,0,54350,2.94,0.00,0.92,0.00
25025,2020-03-02,2,0,0,0,39740,0.50,0.00,0.00,0.00
6023,2020-03-02,2,0,0,0,89682,0.22,0.00,0.00,0.00
4013,2020-03-02,2,0,0,0,3196,6.26,0.00,0.00,0.00
12081,2020-03-02,2,0,1,0,31448,0.64,0.00,0.32,0.00
777777,2020-03-02,2,0,1,0,170598,0.12,0.00,0.06,0.00
31055,2020-03-02,26,0,0,0,6934,37.50,0.00,0.00,0.00
6041,2020-03-02,2,0,0,0,38368,0.52,0.00,0.00,0.00
6081,2020-03-02,1,0,1,0,23275,0.43,0.00,0.43,0.00
13121,2020-03-02,2,0,2,0,163,122.70,0.00,122.70,0.00
53053,2020-03-09,15,0,7,0,26416,5.68,0.00,2.65,0.00
27019,2020-03-09,2,0,1,0,6952,2.88,0.00,1.44,0.00
6037,2020-03-09,79,0,18,0,201446,3.92,0.00,0.89,0.00
6055,2020-03-09,7,0,0,0,78211,0.90,0.00,0.00,0.00
53035,2020-03-09,2,0,1,0,1958,10.21,0.00,5.11,0.00
6041,2020-03-09,8,0,1,0,134288,0.60,0.00,0.07,0.00
6059,2020-03-09,23,0,4,0,330589,0.70,0.00,0.12,0.00
50003,2020-03-09,3,0,1,0,3459,8.67,0.00,2.89,0.00
45083,2020-03-09,2,0,1,0,0,inf,,inf,
53037,2020-03-09,3,0,1,0,21471,1.40,0.00,0.47,0.00
6039,2020-03-09,3,0,1,0,74946,0.40,0.00,0.13,0.00
13121,2020-03-09,22,0,3,0,1141,192.81,0.00,26.29,0.00
6061,2020-03-09,30,6,6,1,105231,2.85,0.5701741882144995,0.57,0.10
6085,2020-03-09,181,1,34,1,190225,9.52,0.05,1.79,0.05
36087,2020-03-09,10,0,4,0,75928,1.32,0.00,0.53,0.00
25025,2020-03-09,30,0,9,0,139090,2.16,0.00,0.65,0.00
4021,2020-03-09,10,0,3,0,18212,5.49,0.00,1.65,0.00
25027,2020-03-09,2,0,1,0,37844,0.53,0.00,0.26,0.00
49011,2020-03-09,4,0,1,0,9684,4.13,0.00,1.03,0.00
6081,2020-03-09,15,0,8,0,162925,0.92,0.00,0.49,0.00
53007,2020-03-09,6,2,1,1,2016,29.76,9.920634920634921,4.96,4.9603174603174605
41067,2020-03-09,27,0,6,0,5495,49.14,0.00,10.92,0.00
53011,2020-03-09,4,0,1,0,195872,0.20,0.00,0.05,0.00
6075,2020-03-09,54,0,13,0,60816,8.88,0.00,2.14,0.00
6073,2020-03-09,8,0,1,0,138278,0.58,0.00,0.07,0.00
36059,2020-03-09,31,0,17,0,144100,2.15,0.00,1.18,0.00
48029,2020-03-09,77,0,0,0,6188,124.43,0.00,0.00,0.00
6067,2020-03-09,27,0,6,0,8498,31.77,0.00,7.06,0.00
6065,2020-03-09,6,0,4,0,119343,0.50,0.00,0.34,0.00
4019,2020-03-09,1,0,1,0,50174,0.20,0.00,0.20,0.00
53031,2020-03-09,4,0,1,0,21656,1.85,0.00,0.46,0.00
34039,2020-03-09,1,0,1,0,2780,3.60,0.00,3.60,0.00
53033,2020-03-09,446,99,102,15,39690,112.37,24.94331065759637,25.70,3.779289493575208
18113,2020-03-09,1,0,1,0,19585,0.51,0.00,0.51,0.00
32003,2020-03-09,7,0,2,0,18295,3.83,0.00,1.09,0.00
51059,2020-03-09,7,0,4,0,7695,9.10,0.00,5.20,0.00
42089,2020-03-09,1,0,1,0,8946,1.12,0.00,1.12,0.00
12057,2020-03-09,14,0,1,0,4886,28.65,0.00,2.05,0.00
20091,2020-03-09,3,0,1,0,4260,7.04,0.00,2.35,0.00
45019,2020-03-09,4,0,1,0,0,inf,,inf,
48201,2020-03-09,26,0,6,0,11740,22.15,0.00,5.11,0.00
55093,2020-03-09,1,0,1,0,1134,8.82,0.00,8.82,0.00
12113,2020-03-09,5,4,1,1,215,232.56,186.04651162790697,46.51,46.51162790697674
42091,2020-03-09,13,0,7,0,438,296.80,0.00,159.82,0.00
9001,2020-03-09,3,0,2,0,424,70.75,0.00,47.17,0.00
13113,2020-03-09,1,0,1,0,54035,0.19,0.00,0.19,0.00
39035,2020-03-09,3,0,3,0,3931,7.63,0.00,7.63,0.00
12071,2020-03-09,7,4,2,1,95528,0.73,0.41872539988275687,0.21,0.10468134997068922
31055,2020-03-09,99,0,3,0,24269,40.79,0.00,1.24,0.00
12081,2020-03-09,10,0,1,0,110068,0.91,0.00,0.09,0.00
15003,2020-03-09,6,0,2,0,4212,14.25,0.00,4.75,0.00
42127,2020-03-09,4,0,1,0,4004,9.99,0.00,2.50,0.00
18097,2020-03-09,4,0,1,0,20112,1.99,0.00,0.50,0.00
8059,2020-03-09,5,0,1,0,8580,5.83,0.00,1.17,0.00
55025,2020-03-09,7,0,0,0,65205,1.07,0.00,0.00,0.00
29189,2020-03-09,3,0,1,0,24468,1.23,0.00,0.41,0.00
12091,2020-03-09,3,0,1,0,25584,1.17,0.00,0.39,0.00
21067,2020-03-09,7,0,3,0,4880,14.34,0.00,6.15,0.00
27123,2020-03-09,4,0,1,0,161348,0.25,0.00,0.06,0.00
40143,2020-03-09,4,0,1,0,0,inf,,inf,
32031,2020-03-09,7,0,2,0,23170,3.02,0.00,0.86,0.00
53061,2020-03-09,155,0,42,0,32977,47.00,0.00,12.74,0.00
6023,2020-03-09,7,0,0,0,313887,0.22,0.00,0.00,0.00
25021,2020-03-09,26,0,9,0,917,283.53,0.00,98.15,0.00
34031,2020-03-09,2,0,1,0,726,27.55,0.00,13.77,0.00
48085,2020-03-09,1,0,1,0,89,112.36,0.00,112.36,0.00
6019,2020-03-09,3,0,1,0,82458,0.36,0.00,0.12,0.00
34025,2020-03-09,2,0,2,0,4625,4.32,0.00,4.32,0.00
6013,2020-03-09,29,0,9,0,47607,6.09,0.00,1.89,0.00
21111,2020-03-09,2,0,1,0,11866,1.69,0.00,0.84,0.00
12015,2020-03-09,3,0,1,0,32001,0.94,0.00,0.31,0.00
53063,2020-03-09,28,0,0,0,18648,15.02,0.00,0.00,0.00
34017,2020-03-09,1,0,1,0,1823,5.49,0.00,5.49,0.00
6001,2020-03-09,39,0,23,0,65534,5.95,0.00,3.51,0.00
42045,2020-03-09,4,0,1,0,4484,8.92,0.00,2.23,0.00
21097,2020-03-09,2,0,1,0,2452,8.16,0.00,4.08,0.00
53071,2020-03-09,7,0,0,0,92169,0.76,0.00,0.00,0.00
34007,2020-03-09,4,0,1,0,16096,2.49,0.00,0.62,0.00
45055,2020-03-09,11,0,5,0,280,392.86,0.00,178.57,0.00
34003,2020-03-09,18,0,5,0,45792,3.93,0.00,1.09,0.00
33015,2020-03-09,3,0,1,0,9645,3.11,0.00,1.04,0.00
33009,2020-03-09,17,0,2,0,43771,3.88,0.00,0.46,0.00
13135,2020-03-09,4,0,2,0,22071,1.81,0.00,0.91,0.00
48157,2020-03-09,20,0,6,0,57558,3.47,0.00,1.04,0.00
12127,2020-03-09,4,0,2,0,26892,1.49,0.00,0.74,0.00
12011,2020-03-09,10,0,3,0,892,112.11,0.00,33.63,0.00
4013,2020-03-09,14,0,1,0,11186,12.52,0.00,0.89,0.00
51810,2020-03-09,1,0,1,0,248,40.32,0.00,40.32,0.00
17031,2020-03-09,43,0,7,0,130102,3.31,0.00,0.54,0.00
41047,2020-03-09,2,0,1,0,11834,1.69,0.00,0.85,0.00
18063,2020-03-09,3,0,2,0,50850,0.59,0.00,0.39,0.00
24033,2020-03-09,1,0,1,0,12566,0.80,0.00,0.80,0.00
36119,2020-03-09,306,0,97,0,56310,54.34,0.00,17.23,0.00
24031,2020-03-09,17,0,4,0,131335,1.29,0.00,0.30,0.00
6113,2020-03-09,4,0,1,0,134480,0.30,0.00,0.07,0.00
49035,2020-03-09,7,0,0,0,183876,0.38,0.00,0.00,0.00
13067,2020-03-09,8,0,4,0,156099,0.51,0.00,0.26,0.00
24025,2020-03-09,2,0,1,0,24748,0.81,0.00,0.40,0.00
11001,2020-03-09,6,0,4,0,92925,0.65,0.00,0.43,0.00
19155,2020-03-09,1,0,1,0,121,82.64,0.00,82.64,0.00
41035,2020-03-09,3,0,1,0,138645,0.22,0.00,0.07,0.00
47037,2020-03-09,2,0,1,0,1866,10.72,0.00,5.36,0.00
41029,2020-03-09,6,0,2,0,133716,0.45,0.00,0.15,0.00
47157,2020-03-09,2,0,1,0,1780,11.24,0.00,5.62,0.00
777777,2020-03-09,59,0,19,0,597093,0.99,0.00,0.32,0.00
8041,2020-03-09,4,0,1,0,129552,0.31,0.00,0.08,0.00
49053,2020-03-09,4,0,1,0,1124,35.59,0.00,8.90,0.00
19103,2020-03-09,10,0,7,0,13742,7.28,0.00,5.09,0.00
8037,2020-03-09,5,0,2,0,7696,6.50,0.00,2.60,0.00
8035,2020-03-09,13,0,3,0,36510,3.56,0.00,0.82,0.00
13115,2020-03-09,1,0,1,0,23854,0.42,0.00,0.42,0.00
36111,2020-03-09,2,0,1,0,83754,0.24,0.00,0.12,0.00
